Gene	TF	Start	End
Glyma.01G043300.1	SPL15B	961.0	972.0
Glyma.01G043300.1	TCP3	25.0	32.0
Glyma.01G043300.1	TCP5	25.0	32.0
Glyma.01G043300.1	TCX2	547.0	561.0
Glyma.01G043300.1	TCX2	819.0	833.0
Glyma.01G043300.1	TCX2	951.0	965.0
Glyma.01G043300.1	TCX2	554.0	568.0
Glyma.01G043300.1	TCX3	604.0	615.0
Glyma.01G043300.1	TCX6	258.0	272.0
Glyma.01G043300.1	TCX6	554.0	568.0
Glyma.01G043300.1	TCX6	826.0	840.0
Glyma.01G043300.1	TCX6	819.0	833.0
Glyma.01G043300.1	TCX6	951.0	965.0
Glyma.01G043300.1	TEIL	472.0	479.0
Glyma.01G043300.1	TSO1	817.0	832.0
Glyma.01G043300.1	TSO1	950.0	964.0
Glyma.01G043300.1	TSO1	555.0	569.0
Glyma.01G043300.1	TSO1	827.0	841.0
Glyma.01G043300.1	TSO1	952.0	966.0
Glyma.01G043300.1	UB3	1943.0	1952.0
Glyma.01G043300.1	WRKY17	1163.0	1172.0
Glyma.01G043300.1	WRKY20	431.0	438.0
Glyma.01G043300.1	WRKY23	431.0	438.0
Glyma.01G043300.1	WRKY26	431.0	441.0
Glyma.01G043300.1	WRKY27	1162.0	1172.0
Glyma.01G043300.1	WRKY3	431.0	441.0
Glyma.01G043300.1	WRKY46	1163.0	1172.0
Glyma.01G043300.1	WRKY7	1162.0	1172.0
Glyma.01G043300.1	ZHD1	239.0	247.0
Glyma.01G043300.1	ZHD1	296.0	304.0
Glyma.01G043300.1	ZHD10	239.0	246.0
Glyma.01G043300.1	ZHD10	296.0	303.0
Glyma.01G043300.1	ZHD6	730.0	741.0
Glyma.01G043300.1	ZHD6	297.0	308.0
Glyma.01G043300.1	ZHD9	232.0	246.0
Glyma.01G043300.1	ZHD9	1053.0	1067.0
Glyma.01G043300.1	ZHD9	735.0	749.0
Glyma.01G043300.1	ZHD9	983.0	997.0
Glyma.01G043300.1	Zm00001d015407	809.0	824.0
Glyma.01G043300.1	Zm00001d027846	1021.0	1028.0
Glyma.01G043300.1	estExt_gwp_gw1.C_550163	391.0	397.0
Glyma.01G043300.1	squamosa	887.0	899.0
Glyma.01G053800.1	ABF1	13.0	22.0
Glyma.01G053800.1	ABF1	11.0	20.0
Glyma.01G053800.1	ABF2	13.0	19.0
Glyma.01G053800.1	ABF2	14.0	20.0
Glyma.01G053800.1	ABF3	15.0	21.0
Glyma.01G053800.1	ABF3	12.0	18.0
Glyma.01G053800.1	ABI5	12.0	19.0
Glyma.01G053800.1	ABI5	14.0	21.0
Glyma.01G053800.1	AGL13	1810.0	1827.0
Glyma.01G053800.1	AGL13	1968.0	1985.0
Glyma.01G053800.1	AGL13	837.0	854.0
Glyma.01G053800.1	AGL13	1183.0	1200.0
Glyma.01G053800.1	AGL13	1826.0	1843.0
Glyma.01G053800.1	AGL15	1828.0	1843.0
Glyma.01G053800.1	AGL15	1810.0	1825.0
Glyma.01G053800.1	AGL16	1828.0	1842.0
Glyma.01G053800.1	AGL27	1214.0	1227.0
Glyma.01G053800.1	AGL27	1827.0	1840.0
Glyma.01G053800.1	AGL27	1346.0	1359.0
Glyma.01G053800.1	AGL6	839.0	857.0
Glyma.01G053800.1	AGL6	1825.0	1843.0
Glyma.01G053800.1	AHL12	189.0	196.0
Glyma.01G053800.1	AHL12	262.0	269.0
Glyma.01G053800.1	AHL12	1782.0	1789.0
Glyma.01G053800.1	AHL12	189.0	196.0
Glyma.01G053800.1	AHL12	262.0	269.0
Glyma.01G053800.1	AHL12	1782.0	1789.0
Glyma.01G053800.1	AHL13	284.0	291.0
Glyma.01G053800.1	AHL13	581.0	588.0
Glyma.01G053800.1	AHL20	131.0	138.0
Glyma.01G053800.1	AHL20	785.0	792.0
Glyma.01G053800.1	AHL20	1286.0	1293.0
Glyma.01G053800.1	AHL25	785.0	792.0
Glyma.01G053800.1	AHL25	1286.0	1293.0
Glyma.01G053800.1	AHL25	785.0	792.0
Glyma.01G053800.1	AHL25	1286.0	1293.0
Glyma.01G053800.1	ANL2	1685.0	1694.0
Glyma.01G053800.1	ANL2	1938.0	1947.0
Glyma.01G053800.1	ANL2	112.0	121.0
Glyma.01G053800.1	ANL2	1942.0	1951.0
Glyma.01G053800.1	AP1	1347.0	1359.0
Glyma.01G053800.1	AP1	1646.0	1658.0
Glyma.01G053800.1	AP1	1971.0	1983.0
Glyma.01G053800.1	AP1	839.0	851.0
Glyma.01G053800.1	AP1	857.0	869.0
Glyma.01G053800.1	ARF16	80.0	89.0
Glyma.01G053800.1	ARF39	15.0	25.0
Glyma.01G053800.1	ARR11	96.0	103.0
Glyma.01G053800.1	ARR18	96.0	102.0
Glyma.01G053800.1	ARR2	96.0	103.0
Glyma.01G053800.1	ARR2	1864.0	1871.0
Glyma.01G053800.1	ASR3	1692.0	1700.0
Glyma.01G053800.1	AT1G14600	1159.0	1166.0
Glyma.01G053800.1	AT1G76870	455.0	462.0
Glyma.01G053800.1	AT2G38090	298.0	310.0
Glyma.01G053800.1	AT2G38300	879.0	888.0
Glyma.01G053800.1	AT2G40260	879.0	888.0
Glyma.01G053800.1	AT2G40260	1159.0	1168.0
Glyma.01G053800.1	AT2G40260	165.0	174.0
Glyma.01G053800.1	AT3G10580	297.0	310.0
Glyma.01G053800.1	AT3G10580	1330.0	1343.0
Glyma.01G053800.1	AT3G10580	431.0	444.0
Glyma.01G053800.1	AT4G12670	193.0	221.0
Glyma.01G053800.1	AT4G12670	1544.0	1572.0
Glyma.01G053800.1	AT5G05790	431.0	444.0
Glyma.01G053800.1	AT5G56840	431.0	444.0
Glyma.01G053800.1	AT5G61620	321.0	334.0
Glyma.01G053800.1	ATHB-13	877.0	884.0
Glyma.01G053800.1	ATHB-13	1199.0	1206.0
Glyma.01G053800.1	ATHB-15	1198.0	1210.0
Glyma.01G053800.1	ATHB-16	877.0	884.0
Glyma.01G053800.1	ATHB-16	1199.0	1206.0
Glyma.01G053800.1	ATHB-20	189.0	196.0
Glyma.01G053800.1	ATHB-20	262.0	269.0
Glyma.01G053800.1	ATHB-20	877.0	884.0
Glyma.01G053800.1	ATHB-20	1199.0	1206.0
Glyma.01G053800.1	ATHB-20	1782.0	1789.0
Glyma.01G053800.1	ATHB-40	1198.0	1208.0
Glyma.01G053800.1	ATHB-53	189.0	197.0
Glyma.01G053800.1	ATHB-53	262.0	270.0
Glyma.01G053800.1	ATHB-53	1198.0	1206.0
Glyma.01G053800.1	ATHB-53	1781.0	1789.0
Glyma.01G053800.1	ATHB-X	1198.0	1206.0
Glyma.01G053800.1	ATMYB31	1041.0	1055.0
Glyma.01G053800.1	ATMYB31	1961.0	1975.0
Glyma.01G053800.1	AZF1	1495.0	1503.0
Glyma.01G053800.1	At3g11280	431.0	444.0
Glyma.01G053800.1	BAM8	12.0	20.0
Glyma.01G053800.1	BAM8	13.0	21.0
Glyma.01G053800.1	BEH3	12.0	21.0
Glyma.01G053800.1	BEH3	12.0	21.0
Glyma.01G053800.1	BEH4	12.0	21.0
Glyma.01G053800.1	BEH4	12.0	21.0
Glyma.01G053800.1	BHLH104	12.0	21.0
Glyma.01G053800.1	BHLH104	12.0	21.0
Glyma.01G053800.1	BHLH122	1430.0	1436.0
Glyma.01G053800.1	BHLH13	13.0	20.0
Glyma.01G053800.1	BHLH13	13.0	20.0
Glyma.01G053800.1	BHLH3	13.0	20.0
Glyma.01G053800.1	BHLH3	13.0	20.0
Glyma.01G053800.1	BMY2	12.0	22.0
Glyma.01G053800.1	BMY2	11.0	21.0
Glyma.01G053800.1	BPC1	1637.0	1670.0
Glyma.01G053800.1	BPC1	1061.0	1088.0
Glyma.01G053800.1	BPC1	1302.0	1327.0
Glyma.01G053800.1	BPC5	1064.0	1093.0
Glyma.01G053800.1	BPC6	1064.0	1084.0
Glyma.01G053800.1	BPC6	1641.0	1667.0
Glyma.01G053800.1	BZIP16	13.0	22.0
Glyma.01G053800.1	BZIP16	11.0	20.0
Glyma.01G053800.1	BZIP2	11.0	23.0
Glyma.01G053800.1	BZIP28	13.0	22.0
Glyma.01G053800.1	BZIP28	11.0	20.0
Glyma.01G053800.1	BZIP3	11.0	23.0
Glyma.01G053800.1	BZIP68	11.0	20.0
Glyma.01G053800.1	BZIP68	13.0	22.0
Glyma.01G053800.1	BZR2	13.0	22.0
Glyma.01G053800.1	BZR2	11.0	20.0
Glyma.01G053800.1	CAMTA1	1133.0	1141.0
Glyma.01G053800.1	CCA1	428.0	435.0
Glyma.01G053800.1	CCA1	480.0	487.0
Glyma.01G053800.1	CCA1	1843.0	1850.0
Glyma.01G053800.1	CDF2	1904.0	1910.0
Glyma.01G053800.1	CDF5	198.0	218.0
Glyma.01G053800.1	CDF5	671.0	691.0
Glyma.01G053800.1	CDF5	881.0	901.0
Glyma.01G053800.1	DF1	694.0	701.0
Glyma.01G053800.1	DF1	642.0	649.0
Glyma.01G053800.1	DIV1	1655.0	1665.0
Glyma.01G053800.1	DIV1	431.0	441.0
Glyma.01G053800.1	DOF1.5	1899.0	1914.0
Glyma.01G053800.1	DOF1.5	197.0	218.0
Glyma.01G053800.1	DOF1.6	1904.0	1911.0
Glyma.01G053800.1	DOF1.7	1350.0	1360.0
Glyma.01G053800.1	DOF1.7	203.0	213.0
Glyma.01G053800.1	DOF2.5	1904.0	1911.0
Glyma.01G053800.1	DOF3.4	197.0	213.0
Glyma.01G053800.1	DOF3.4	1350.0	1366.0
Glyma.01G053800.1	DOF3.5	1904.0	1910.0
Glyma.01G053800.1	DOF3.6	625.0	650.0
Glyma.01G053800.1	DOF3.6	851.0	879.0
Glyma.01G053800.1	DOF3.6	895.0	915.0
Glyma.01G053800.1	DOF3.6	992.0	1012.0
Glyma.01G053800.1	DOF3.6	1185.0	1205.0
Glyma.01G053800.1	DOF3.6	60.0	89.0
Glyma.01G053800.1	DOF3.6	1253.0	1273.0
Glyma.01G053800.1	DOF3.6	1656.0	1682.0
Glyma.01G053800.1	DOF3.6	1980.0	2000.0
Glyma.01G053800.1	DOF4.2	1350.0	1360.0
Glyma.01G053800.1	DOF4.3	1840.0	1852.0
Glyma.01G053800.1	DOF4.3	1862.0	1874.0
Glyma.01G053800.1	DOF4.3	1026.0	1038.0
Glyma.01G053800.1	DOF4.5	1350.0	1362.0
Glyma.01G053800.1	DOF4.5	1861.0	1873.0
Glyma.01G053800.1	DOF5.1	1350.0	1368.0
Glyma.01G053800.1	DOF5.1	195.0	213.0
Glyma.01G053800.1	DOF5.1	541.0	559.0
Glyma.01G053800.1	DOF5.1	662.0	680.0
Glyma.01G053800.1	DOF5.1	886.0	904.0
Glyma.01G053800.1	DOF5.1	1205.0	1223.0
Glyma.01G053800.1	DOF5.4	1904.0	1910.0
Glyma.01G053800.1	DOF5.8	195.0	213.0
Glyma.01G053800.1	DOF5.8	626.0	644.0
Glyma.01G053800.1	DOF5.8	662.0	680.0
Glyma.01G053800.1	DOF5.8	886.0	904.0
Glyma.01G053800.1	DOF5.8	1350.0	1368.0
Glyma.01G053800.1	DPBF3	11.0	21.0
Glyma.01G053800.1	DPBF3	12.0	22.0
Glyma.01G053800.1	DYT1	7.0	20.0
Glyma.01G053800.1	DYT1	919.0	932.0
Glyma.01G053800.1	EFM	1729.0	1737.0
Glyma.01G053800.1	EIL3	1403.0	1410.0
Glyma.01G053800.1	EIL4	1701.0	1709.0
Glyma.01G053800.1	FLC	1346.0	1359.0
Glyma.01G053800.1	FLC	1214.0	1227.0
Glyma.01G053800.1	FUS3	649.0	655.0
Glyma.01G053800.1	GAF1	63.0	87.0
Glyma.01G053800.1	GAF1	1255.0	1269.0
Glyma.01G053800.1	GAF1	1439.0	1453.0
Glyma.01G053800.1	GAF1	632.0	649.0
Glyma.01G053800.1	GBF1	15.0	21.0
Glyma.01G053800.1	GBF1	12.0	18.0
Glyma.01G053800.1	GBF2	11.0	19.0
Glyma.01G053800.1	GT-2	641.0	651.0
Glyma.01G053800.1	GT-3a	651.0	664.0
Glyma.01G053800.1	GT-3a	6.0	19.0
Glyma.01G053800.1	HDG1	112.0	121.0
Glyma.01G053800.1	HDG1	1942.0	1951.0
Glyma.01G053800.1	HDG1	1685.0	1694.0
Glyma.01G053800.1	HDG1	1938.0	1947.0
Glyma.01G053800.1	HDG11	113.0	121.0
Glyma.01G053800.1	HDG11	969.0	977.0
Glyma.01G053800.1	HDG11	1943.0	1951.0
Glyma.01G053800.1	HDG7	1685.0	1694.0
Glyma.01G053800.1	HDG7	1938.0	1947.0
Glyma.01G053800.1	HDG7	112.0	121.0
Glyma.01G053800.1	HDG7	968.0	977.0
Glyma.01G053800.1	HDG7	1942.0	1951.0
Glyma.01G053800.1	HRS1	167.0	178.0
Glyma.01G053800.1	HRS1	1729.0	1740.0
Glyma.01G053800.1	HSFA1E	1080.0	1093.0
Glyma.01G053800.1	HSFA6A	697.0	709.0
Glyma.01G053800.1	HSFA6B	1835.0	1842.0
Glyma.01G053800.1	HSFB3	268.0	279.0
Glyma.01G053800.1	HSFB3	1725.0	1736.0
Glyma.01G053800.1	HSFB4	444.0	453.0
Glyma.01G053800.1	HSFC1	1835.0	1842.0
Glyma.01G053800.1	HY5	11.0	22.0
Glyma.01G053800.1	HY5	11.0	22.0
Glyma.01G053800.1	IDD1	1442.0	1453.0
Glyma.01G053800.1	IDD11	73.0	84.0
Glyma.01G053800.1	IDD11	1101.0	1112.0
Glyma.01G053800.1	IDD11	1442.0	1453.0
Glyma.01G053800.1	IDD11	635.0	646.0
Glyma.01G053800.1	IDD4	71.0	85.0
Glyma.01G053800.1	IDD4	1099.0	1113.0
Glyma.01G053800.1	IDD4	1440.0	1454.0
Glyma.01G053800.1	IDD4	634.0	648.0
Glyma.01G053800.1	IDD4	1536.0	1550.0
Glyma.01G053800.1	IDD5	1099.0	1112.0
Glyma.01G053800.1	IDD5	1440.0	1453.0
Glyma.01G053800.1	IDD6	634.0	649.0
Glyma.01G053800.1	IDD6	70.0	85.0
Glyma.01G053800.1	IDD6	1253.0	1268.0
Glyma.01G053800.1	IDD6	1439.0	1454.0
Glyma.01G053800.1	IDD7	71.0	84.0
Glyma.01G053800.1	IDD7	1099.0	1112.0
Glyma.01G053800.1	IDD7	1440.0	1453.0
Glyma.01G053800.1	IDD7	635.0	648.0
Glyma.01G053800.1	JKD	635.0	646.0
Glyma.01G053800.1	JKD	1537.0	1548.0
Glyma.01G053800.1	JKD	73.0	84.0
Glyma.01G053800.1	JKD	1442.0	1453.0
Glyma.01G053800.1	KAN2	1159.0	1168.0
Glyma.01G053800.1	KAN2	1203.0	1212.0
Glyma.01G053800.1	KAN2	165.0	174.0
Glyma.01G053800.1	KAN2	1095.0	1104.0
Glyma.01G053800.1	KAN2	1727.0	1736.0
Glyma.01G053800.1	KUA1	300.0	307.0
Glyma.01G053800.1	LHY	480.0	488.0
Glyma.01G053800.1	LHY	1843.0	1851.0
Glyma.01G053800.1	LHY	427.0	435.0
Glyma.01G053800.1	LHY	1467.0	1475.0
Glyma.01G053800.1	LRL2	5.0	19.0
Glyma.01G053800.1	MGP	1101.0	1113.0
Glyma.01G053800.1	MGP	1442.0	1454.0
Glyma.01G053800.1	MYB105	1601.0	1613.0
Glyma.01G053800.1	MYB107	1138.0	1145.0
Glyma.01G053800.1	MYB13	1047.0	1056.0
Glyma.01G053800.1	MYB30	1047.0	1058.0
Glyma.01G053800.1	MYB31	1041.0	1055.0
Glyma.01G053800.1	MYB31	1961.0	1975.0
Glyma.01G053800.1	MYB33	1601.0	1610.0
Glyma.01G053800.1	MYB39	844.0	855.0
Glyma.01G053800.1	MYB3R1	1601.0	1608.0
Glyma.01G053800.1	MYB3R4	1601.0	1612.0
Glyma.01G053800.1	MYB3R5	1601.0	1614.0
Glyma.01G053800.1	MYB40	846.0	855.0
Glyma.01G053800.1	MYB43	844.0	855.0
Glyma.01G053800.1	MYB44	1601.0	1609.0
Glyma.01G053800.1	MYB51	1043.0	1053.0
Glyma.01G053800.1	MYB55	1137.0	1144.0
Glyma.01G053800.1	MYB58	1047.0	1055.0
Glyma.01G053800.1	MYB60	1047.0	1056.0
Glyma.01G053800.1	MYB63	1047.0	1057.0
Glyma.01G053800.1	MYB70	1602.0	1608.0
Glyma.01G053800.1	MYB73	1602.0	1609.0
Glyma.01G053800.1	MYB80	844.0	855.0
Glyma.01G053800.1	MYB83	1048.0	1055.0
Glyma.01G053800.1	MYB93	1138.0	1145.0
Glyma.01G053800.1	MYB94	1047.0	1056.0
Glyma.01G053800.1	MYB96	1046.0	1056.0
Glyma.01G053800.1	MYC2	13.0	20.0
Glyma.01G053800.1	MYC2	13.0	20.0
Glyma.01G053800.1	MYC4	14.0	20.0
Glyma.01G053800.1	MYC4	13.0	19.0
Glyma.01G053800.1	MYR2	167.0	174.0
Glyma.01G053800.1	MYR2	1729.0	1736.0
Glyma.01G053800.1	NAC004	1477.0	1483.0
Glyma.01G053800.1	NAC011	1824.0	1844.0
Glyma.01G053800.1	NAC013	1481.0	1499.0
Glyma.01G053800.1	NAC017	610.0	616.0
Glyma.01G053800.1	NAC020	1479.0	1499.0
Glyma.01G053800.1	NAC028	610.0	616.0
Glyma.01G053800.1	NAC031	1481.0	1499.0
Glyma.01G053800.1	NAC031	1481.0	1499.0
Glyma.01G053800.1	NAC038	1481.0	1499.0
Glyma.01G053800.1	NAC053	1477.0	1483.0
Glyma.01G053800.1	NAC055	1456.0	1463.0
Glyma.01G053800.1	NAC057	610.0	616.0
Glyma.01G053800.1	NAC058	1481.0	1499.0
Glyma.01G053800.1	NAC058	1481.0	1499.0
